2026,Ursvik ultra,75 km,9:49:21 (3:a)
2026,Sollentuna winter halvmaraton,21.1 km,1:41:51* (2:a)
2025,Sörmland ultra maraton,50 km,5:32:18
2025,Finnkampsloppet,5 km,0:21:38*
2024,Blodomloppet,10 km,0:52:05
2024,Kungsholmen runt,10 km,0:47:27
2024,Sandsjöbacka trail,60 km,9:01:00
2023,Lidingöloppet,30 km,2:44:32*
2023,Idre fjällmaraton,28 km,3:36:42
2023,STHLM Trail run,10 km,0:59:38
2021,Höstrusket,10 km,0:44:41*
2021,Lidingöloppet,30 km,2:48:20
2019,Stockholm halvmaraton,21.1 km,1:53:43
